"date1","partner_id","avg_duration_seconds","median_duration_seconds","amount_of_exchange","our_volume_sum","median_volume","avg_volume_per_exchange","prev_valume","volume_growth_pct"
2021-12-19,1,2315.85,179.0,189,746.8814,0.6458414793014526,3.9517513227513228,,
2021-12-19,2,697.23,156.0,2581,8556.638,0.31105226278305054,3.3152421542037970,,
2021-12-19,3,1132.36,180.5,190,273.3079,0.38777461647987366,1.4384631578947368,,
2021-12-19,6,183.17,151.5,156,331.57367,0.45564329624176025,2.1254743589743590,,
2021-12-19,7,119.00,119.0,1,30.83942,30.839420318603516,30.8394000000000000,,
2021-12-19,8,372.13,166.5,30,34.398773,0.22337371110916138,1.1466266666666667,,
2021-12-19,9,242.60,189.5,42,269.98306,0.692971795797348,6.4281666666666667,,
2021-12-19,11,323.36,216.0,11,67.877464,4.9101104736328125,6.1706818181818182,,
2021-12-19,12,171.44,148.0,61,88.36051,0.32613757252693176,1.4485327868852459,,
2021-12-19,14,553.15,230.5,400,577.5093,0.464449405670166,1.4437725000000000,,
2021-12-19,16,147.33,136.0,15,36.357033,0.768750011920929,2.4238000000000000,,
2021-12-19,17,235.00,235.0,1,53.532494,53.532493591308594,53.5325000000000000,,
2021-12-19,18,217.50,227.0,4,20.295,5.227499961853027,5.0737500000000000,,
2021-12-19,19,130.50,130.5,2,0.37656087,0.18828043714165688,0.18828050000000000000,,
2021-12-19,23,390.45,131.5,22,115.82149,0.32760271430015564,5.2645909090909091,,
2021-12-19,24,236.00,236.0,1,0.61484194,0.6148419380187988,0.61484200000000000000,,
2021-12-19,25,157.18,139.0,28,47.670605,0.3276515007019043,1.7025214285714286,,
2021-12-19,27,187.89,146.0,27,441.12842,2.714472770690918,16.3380740740740741,,
2021-12-19,28,61.00,61.0,1,0.046001986,0.04600198566913605,0.04600200000000000000,,
2021-12-19,33,1441.38,191.0,76,829.0083,0.5344349145889282,10.9080000000000000,,
2021-12-19,35,192.90,147.0,41,16.220915,0.09618135541677475,0.39563170731707317073,,
2021-12-19,37,142.54,105.5,362,437.1632,0.21814023703336716,1.2076325966850829,,
2021-12-19,39,180.00,180.0,1,0.25586513,0.2558651268482208,0.25586500000000000000,,
2021-12-19,41,255.00,255.0,1,3.067374,3.0673739910125732,3.0673700000000000,,
2021-12-19,47,269.70,204.0,23,171.1358,0.6408900618553162,7.4406956521739130,,
2021-12-19,48,203.00,203.0,1,0.101105556,0.10110555589199066,0.10110600000000000000,,
2021-12-19,50,221.50,221.5,2,1.127125,0.5635625123977661,0.56356500000000000000,,
2021-12-19,52,175.49,143.0,148,866.6548,0.7691707015037537,5.8557770270270270,,
2021-12-19,53,106.00,106.0,2,1.7843113,1.784311294555664,0.89215500000000000000,,
2021-12-19,56,488.25,162.0,1163,6037.7114,1.00607168674469,5.1914961306964746,,
2021-12-19,57,199.44,190.0,9,21.729137,0.702019453048706,2.4143444444444444,,
2021-12-19,59,1419.50,215.0,8,387.04984,1.7547717690467834,48.3812500000000000,,
2021-12-19,62,152.50,152.5,2,1.5635211,0.7817606031894684,0.78176000000000000000,,
2021-12-19,63,114.00,114.0,1,0.059074134,0.05907413363456726,0.05907410000000000000,,
2021-12-19,68,197.00,197.0,1,1.413824,1.4138239622116089,1.41382000000000000000,,
2021-12-19,69,176.83,193.5,6,19.929161,0.7240715622901917,3.3215333333333333,,
2021-12-19,71,467.33,204.0,15,83.99382,1.3045990467071533,5.5995866666666667,,
2021-12-19,73,82.00,82.0,1,0.6480376,0.6480376124382019,0.64803800000000000000,,
2021-12-19,74,284.00,284.0,1,0.5656025,0.5656024813652039,0.56560200000000000000,,
2021-12-19,76,204.00,204.0,1,,,,,
2021-12-19,78,135.00,135.0,1,4.208612,4.208611965179443,4.2086100000000000,,
2021-12-19,82,172.00,172.0,1,0.21525,0.21525000035762787,0.21525000000000000000,,
2021-12-19,83,245.00,245.0,2,0.38514215,0.19257107377052307,0.19257100000000000000,,
2021-12-19,86,362.46,220.0,28,28.667353,0.6562327742576599,1.02383571428571428571,,
2021-12-19,89,477.32,349.0,47,332.96152,1.0913164615631104,7.0842978723404255,,
2021-12-19,96,350.00,350.0,1,19.313229,19.313228607177734,19.3132000000000000,,
2021-12-19,98,125.00,125.0,1,0.14383486,0.14383485913276672,0.14383500000000000000,,
2021-12-19,99,268.00,268.0,1,1.4078888,1.4078887701034546,1.40789000000000000000,,
2021-12-19,100,106.00,106.0,2,0.9281471,0.464073546230793,0.46407350000000000000,,
2021-12-19,101,273.71,284.0,7,8.050672,0.4950011968612671,1.1500957142857143,,
2021-12-19,104,185.67,191.0,3,0.17013717,0.05011730268597603,0.05671233333333333333,,
2021-12-19,106,132.00,132.0,1,0.08197023,0.0819702297449112,0.08197020000000000000,,
2021-12-19,108,167.67,161.0,15,453.61472,12.857958793640137,30.2410000000000000,,
2021-12-19,109,208.00,208.0,1,4.6125,4.612500190734863,4.6125000000000000,,
2021-12-19,110,205.12,159.0,49,80.03396,0.6062164008617401,1.6333469387755102,,
2021-12-19,112,196.00,196.0,2,14.388546,7.194272756576538,7.1942500000000000,,
2021-12-19,113,116.00,116.0,2,0.6997448,0.3498723953962326,0.34987250000000000000,,
2021-12-19,116,157.83,135.0,6,1.287625,0.18140766024589539,0.21460333333333333333,,
2021-12-19,119,242.00,242.0,1,2.9265485,2.926548480987549,2.9265500000000000,,
2021-12-19,121,126.00,126.0,1,11.177656,11.177656173706055,11.1777000000000000,,
2021-12-19,124,146.33,170.0,3,19.788307,7.212041854858398,6.5961000000000000,,
2021-12-19,125,166.00,166.0,2,4.2558665,2.127933159470558,2.1279350000000000,,
2021-12-19,126,228.33,264.0,3,10.739399,3.7242908477783203,3.5798000000000000,,
2021-12-19,127,108.00,114.0,3,9.591867,3.2274107933044434,3.1972900000000000,,
2021-12-19,130,267.00,267.0,1,0.06718875,0.06718874722719193,0.06718870000000000000,,
2021-12-19,137,129.00,129.0,1,0.4946271,0.49462708830833435,0.49462700000000000000,,
2021-12-19,138,196.86,147.0,29,17.78152,0.36163443326950073,0.61315517241379310345,,
2021-12-19,139,112.00,112.0,1,1.614375,1.6143749952316284,1.61437000000000000000,,
2021-12-19,143,283.71,274.0,7,3.228132,0.36866024136543274,0.46116142857142857143,,
2021-12-19,145,203.33,173.5,30,29.322155,0.18496578186750412,0.97740666666666666667,,
2021-12-19,148,120.00,120.0,2,0.08557767,0.04278883337974548,0.04278885000000000000,,
2021-12-19,150,117.11,118.0,9,4.09823,0.3290182054042816,0.45535888888888888889,,
2021-12-19,152,201.00,196.0,4,0.40719885,0.08462778106331825,0.10179975000000000000,,
2021-12-19,158,181.00,181.0,1,0.040467992,0.040467992424964905,0.04046800000000000000,,
2021-12-19,162,127.33,118.0,3,0.13973743,0.0434374175965786,0.04657900000000000000,,
2021-12-19,164,243.00,243.0,1,1.9259387,1.9259387254714966,1.92594000000000000000,,
2021-12-19,165,181.00,181.0,1,,,,,
2021-12-19,168,124.50,120.5,4,4.2343397,1.0257967412471771,1.05858500000000000000,,
2021-12-19,173,303.00,303.0,1,0.98159796,0.9815979599952698,0.98159800000000000000,,
2021-12-19,177,130.00,130.0,1,5.4792147,5.479214668273926,5.4792100000000000,,
2021-12-19,179,190.00,190.0,2,,,,,
2021-12-19,181,143.38,133.0,16,13.079608,0.3468947112560272,0.81747500000000000000,,
2021-12-19,182,144.00,135.5,6,23.593483,0.582354798913002,3.9322500000000000,,
2021-12-19,190,143.50,143.5,2,3.3713095,1.6856547314673662,1.6856550000000000,,
2021-12-19,192,218.67,229.5,6,3.8551865,0.9993749856948853,0.64253166666666666667,,
2021-12-19,196,182.48,151.0,23,54.17289,0.611847996711731,2.3553434782608696,,
2021-12-19,197,126.00,126.0,1,0.90479356,0.9047935605049133,0.90479400000000000000,,
2021-12-19,199,307.00,307.0,1,1.7415824,1.7415823936462402,1.74158000000000000000,,
2021-12-19,201,232.00,232.0,1,25.137999,25.137998580932617,25.1380000000000000,,
2021-12-19,205,207.30,192.5,10,14.421225,1.4603816270828247,1.4421200000000000,,
2021-12-19,207,5906.30,153.5,10,28.323048,1.0295953750610352,2.8323000000000000,,
2021-12-19,210,130.00,130.0,1,0.31242293,0.3124229311943054,0.31242300000000000000,,
2021-12-19,212,218.00,218.0,2,0.7675758,0.3837879076600075,0.38378800000000000000,,
2021-12-19,216,239.75,258.0,123,121.49416,0.4849119335412979,0.98775609756097560976,,
2021-12-19,218,270.00,270.0,1,0.061095722,0.061095722019672394,0.06109570000000000000,,
2021-12-19,227,139.00,139.0,1,4.0054784,4.005478382110596,4.0054800000000000,,
2021-12-20,1,274.22,177.0,181,634.48486,0.6346344351768494,3.5054419889502762,746.8814,-15.05
2021-12-20,2,464.15,156.0,2831,12413.059,0.36937013268470764,4.3847050512186507,8556.638,45.07
2021-12-20,3,846.27,177.0,173,635.525,0.3551538586616516,3.6735549132947977,273.3079,132.53
2021-12-20,5,357.00,357.0,1,1.245375,1.2453750371932983,1.24538000000000000000,,
2021-12-20,6,246.56,157.0,151,418.98367,0.3075000047683716,2.7747284768211921,331.57367,26.36
2021-12-20,8,261.00,278.0,3,1.2396387,0.41051939129829407,0.41321333333333333333,34.398773,-96.40
2021-12-20,9,317.54,182.0,61,388.3649,0.4562106728553772,6.3666393442622951,269.98306,43.85
2021-12-20,11,555.10,210.0,10,21.692284,1.132500559091568,2.1692300000000000,67.877464,-68.04
2021-12-20,12,201.73,177.0,66,140.02908,0.656555563211441,2.1216515151515152,88.36051,58.47
2021-12-20,14,245.51,230.0,409,1800.5201,0.6150000095367432,4.4022493887530562,577.5093,211.77
2021-12-20,16,190.86,184.0,21,176.74826,0.9366889595985413,8.4165714285714286,36.357033,386.15
2021-12-20,17,237.00,237.0,1,0.12726392,0.12726391851902008,0.12726400000000000000,53.532494,-99.76
2021-12-20,18,205.00,179.0,3,16.14375,5.381249904632568,5.3812333333333333,20.295,-20.45
2021-12-20,20,196.50,196.5,2,4.8910418,2.4455208778381348,2.4455200000000000,,
2021-12-20,23,181.63,133.0,27,33.94434,0.28797242045402527,1.2571962962962963,115.82149,-70.69
2021-12-20,25,176.41,130.0,32,36.65443,0.3424409329891205,1.1454500000000000,47.670605,-23.11
2021-12-20,27,207.14,178.0,22,597.9848,1.9434388875961304,27.1811363636363636,441.12842,35.56
2021-12-20,28,103.00,103.0,1,0.042361178,0.04236117750406265,0.04236120000000000000,0.046001986,-7.91
2021-12-20,31,93.00,93.0,1,0.08878946,0.08878946304321289,0.08878950000000000000,,
2021-12-20,33,293.20,178.0,93,1138.1218,0.5782532095909119,12.2378494623655914,829.0083,37.29
2021-12-20,34,116.67,122.0,3,1.958349,0.8122169971466064,0.65278333333333333333,,
2021-12-20,35,310.72,169.0,53,47.94656,0.3075000047683716,0.90465283018867924528,16.220915,195.59
2021-12-20,37,1583.12,185.0,615,607.981,0.032876670360565186,0.98858699186991869919,437.1632,39.07
2021-12-20,39,182.67,197.0,3,1.7437263,0.5835445523262024,0.58124333333333333333,0.25586513,581.50
2021-12-20,47,439.50,174.0,26,132.4858,0.8733693659305573,5.0956153846153846,171.1358,-22.58
2021-12-20,50,181.47,164.0,15,5.738947,0.2543484568595886,0.38259666666666666667,1.127125,409.17
2021-12-20,51,108.00,108.0,1,0.052399058,0.052399057894945145,0.05239910000000000000,,
2021-12-20,52,300.46,160.0,197,1382.9181,0.5288994908332825,7.0198984771573604,866.6548,59.57
2021-12-20,53,157.63,140.0,8,10.401108,1.3864777088165283,1.3001375000000000,1.7843113,482.92
2021-12-20,55,116.33,115.0,3,15.202007,4.298670291900635,5.0673333333333333,,
2021-12-20,56,853.09,172.5,1386,16782.986,1.0139741897583008,12.1089466089466089,6037.7114,177.97
2021-12-20,57,208.04,179.0,48,97.262886,0.653835654258728,2.0263104166666667,21.729137,347.62
2021-12-20,59,796.80,120.0,5,47.75987,0.38795962929725647,9.5519800000000000,387.04984,-87.66
2021-12-20,62,260.50,260.5,2,5.489279,2.7446393966674805,2.7446400000000000,1.5635211,251.08
2021-12-20,64,269.00,269.0,1,0.68660957,0.6866095662117004,0.68661000000000000000,,
2021-12-20,67,219.67,176.0,3,17.830278,7.103974342346191,5.9434333333333333,,
2021-12-20,69,176.55,147.0,11,40.40207,0.7721525430679321,3.6729181818181818,19.929161,102.73
2021-12-20,71,345.15,260.0,13,191.77066,12.887187004089355,14.7516153846153846,83.99382,128.32
2021-12-20,73,177.07,81.0,14,141.21686,0.7163283079862595,10.0869285714285714,0.6480376,21691.50
2021-12-20,74,182.75,198.0,4,22.177467,3.0712199211120605,5.5443750000000000,0.5656025,3821.03
2021-12-20,80,197.00,197.0,1,2.2276042,2.2276041507720947,2.2276000000000000,,
